Sample name	F1	F2	F3	F4	F5	F6
VL96-15555	1	15	171	171	n.a.	n.a.
VL98-1253	207	1036	1036	52	81	n.a.
VK99-2133	152	66	329	329	17	n.a.
VK99-4204	102	119	335	335	22	3
VK00-0119	19	98	137	137	14	n.a.
VK00-1524	25	23	111	111	11	n.a.
VK01-2965	38	85	124	124	14	n.a.
VK02-4452	189	239	239	178	12	n.a.
VK03-3214	880	260	910	910	44	40
VK03-4298	991	143	1622	1622	76	n.a.
VK04-3106	942	63	1796	1796	174	1374
VK04-4187	1235	1235	71	286	271	787
20097-C1	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
25304	13934	13934	n.a.	n.a.	n.a.	n.a.
28541	69	69	8	35	10	n.a.
31181	134	134	51	69	9	n.a.
33460	151	142	385	11526	11526	n.a.
VK07-0259	670	670	27	n.a.	n.a.	n.a.
VK08-1001	151	151	150	94	3	49
18601	402	158	3888	3888	16	33
20979	3761	1395	16720	16720	279	104
23030	87	660	660	477	24	13
25268	75	134	134	106	n.a.	n.a.
27548	337	427	274	41	1696	1696
04HR-1501	20	100	580	580	n.a.	n.a.
05HR-0269	39	123	123	11	11	n.a.
06HR-0145	520	656	656	333	128	82
07HR-0248	n.a.	n.a.	848	848	n.a.	n.a.
08HR-0235	159	1454	1454	962	269	120
20883	194	211	756	25	13424	13424
24060	192	358	785	785	178	92
27993	320	319	764	764	149	73
31023	307	139	554	554	64	57
33873	63	144	227	14	97649	97649
VK07-4778	81	160	322	322	10	n.a.
VK08-2987	70	95	2059	2059	3	n.a.
VK09-1685	165	478	2272	2272	95	87
26585	n.a.	n.a.	34248	34248	1539	n.a.
27717	49	49	123	123	n.a.	n.a.
30562	185	20551	20551	10	10	7
33089	189	450	450	290	55	406
VK06-6001	44	101	53	21	7556	7556
VK07-8262	116	133	498	498	44	118
VK08-8014	178	89	1198	1198	116	271
VK02-4864	n.a.	n.a.	n.a.	2310	2310	n.a.
VK03-0342	15	15	59434	59434	73	n.a.
VK05-2685	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
VK06-1885	n.a.	509	509	n.a.	n.a.	n.a.
VK07-4218	19	90	90	n.a.	n.a.	n.a.
VK08-6634	122	235	12896	12896	12	n.a.
VK09-7738	875	2665	2665	876	73	39
3460	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3710	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4698	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5651	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
8452	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
9222	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
10264	n.a.	n.a.	33	33	n.a.	n.a.
10756	12	43	43	25	28	2
12879	167	631	631	159	55	7
14908	45	125	125	110	31	108
18140	690	690	411	429	375	69
21484	416	416	212	257	25	119
24890	277	277	240	197	33	23
28929	704	999	999	572	44	45
31440	4	48	427	427	n.a.	n.a.
34493	285	362	397	397	27	10
14799	58	1724	1724	1114	n.a.	n.a.
15611	1108	119	1295	1295	27	n.a.
18113	235	1040	1040	387	36	221
21006	745	1332	1332	348	117	54
23919	662	265	900	900	47	148
26477	1124	1124	58	57	57	42
29184	2144	2144	57	255	74	29
11686	n.a.	n.a.	181	181	n.a.	n.a.
12402	80	80	n.a.	n.a.	40	40
16311	23	10	51	51	n.a.	n.a.
18798	6	28	28	27	n.a.	n.a.
23058	160	220	220	141	60	n.a.
25775	229	94	2074	2074	10	4
28338	714	328	11470	11470	n.a.	n.a.
30847	833	833	496	526	32	753
3174	786	786	444	2501	3509	3509
3199	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3265	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3333	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3469	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3722	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4158	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4955	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5862	n.a.	3	75	75	n.a.	n.a.
6154	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
7848	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
9985	591	1556	1556	568	67	35
10110	5	13	18	18	n.a.	n.a.
21665	216	8560	8560	456	106	n.a.
22499	646	722	15909	15909	80	n.a.
24062	12	44	65	65	6	n.a.
27134	381	292	4338	4338	56	n.a.
29698	290	2206	1590	68	3466	3466
32311	1702	2458	9373	9373	n.a.	n.a.
34347	2085	8201	8201	3648	387	2853
